,aws,google,azure,gpt
baseline,0.0006709528139436262,0.0006087910210918817,0.0006066329526062518,0.0007102956710066304
10% words modified homophone,0.0009808609767330057,0.0009513567937278113,0.0009893341952746713,0.0008061152047141913
20% words modified homophone,0.0013124284350168696,0.0013532659169076737,0.001402854524237329,0.0009364935995609903
10% words modified confusing letter,0.0007965523841491181,0.0007664029305653903,0.0009066904424824236,0.0007873017094529297
20% words modified confusing letter,0.000921233268450755,0.0009428187915427059,0.0011755234625231135,0.0008741901569255718
10% words modified confusing word,0.0011421096457854617,0.0011308840951373086,0.001185580459389337,0.001098756451196497
20% words modified confusing word,0.001475977073251924,0.0014880400000740362,0.0015167270047997472,0.0013200824346602336
