dataset,p_homophone,p_letter,p_confusing_word,homophones_injected,letters_swapped,confusing_words_injected,words_modified,sentences_changed,sentences,words,letters,percentage_sentences_changed,percentage_words_modified,percentage_words_swapped_for_homophones,percentage_words_swapped_for_confusing_words,percentage_letters_swapped
wmt14_en,0.0,0.15,0.0,0,31988,0,30753,3001,3003,62336,362045,99.93339993,49.33425308,0.0,0.0,8.835365769
wmt14_en,0.0,0.2,0.0,0,38664,0,36601,2999,3003,62336,362045,99.86679987,58.71566992,0.0,0.0,10.67933544
wmt14_en,0.0,0.25,0.0,0,44562,0,41610,3003,3003,62336,362045,100.0,66.75115503,0.0,0.0,12.3084147
wmt14_en,0.0,0.3,0.0,0,49480,0,45624,3003,3003,62336,362045,100.0,73.19045175,0.0,0.0,13.66680937
wmt14_en,0.0,0.35,0.0,0,53617,0,48664,3003,3003,62336,362045,100.0,78.06724846,0.0,0.0,14.80948501
wmt14_en,0.0,0.4,0.0,0,57480,0,51314,3003,3003,62336,362045,100.0,82.31840349,0.0,0.0,15.87647944
wmt14_en,0.0,0.45,0.0,0,60572,0,53425,3003,3003,62336,362045,100.0,85.70488963,0.0,0.0,16.73051692
wmt14_en,0.0,0.5,0.0,0,63143,0,54980,3003,3003,62336,362045,100.0,88.19943532,0.0,0.0,17.44064964
wmt14_en,0.0,0.55,0.0,0,65817,0,56589,3003,3003,62336,362045,100.0,90.78060832,0.0,0.0,18.17923186
wmt14_en,0.0,0.6,0.0,0,68059,0,57651,3003,3003,62336,362045,100.0,92.48427875,0.0,0.0,18.7984919
wmt14_en,0.0,0.65,0.0,0,70112,0,58644,3003,3003,62336,362045,100.0,94.07725873,0.0,0.0,19.36554848
wmt14_en,0.0,0.7,0.0,0,71924,0,59340,3003,3003,62336,362045,100.0,95.1937885,0.0,0.0,19.86603875
wmt14_en,0.0,0.75,0.0,0,73633,0,59850,3003,3003,62336,362045,100.0,96.01193532,0.0,0.0,20.33807952
wmt14_en,0.0,0.8,0.0,0,75137,0,60287,3003,3003,62336,362045,100.0,96.71297485,0.0,0.0,20.75349749
wmt14_en,0.0,0.85,0.0,0,76572,0,60699,3003,3003,62336,362045,100.0,97.37390914,0.0,0.0,21.14985706
wmt14_en,0.0,0.9,0.0,0,77954,0,60984,3003,3003,62336,362045,100.0,97.83110883,0.0,0.0,21.53157757
wmt14_en,0.0,0.95,0.0,0,79161,0,61188,3003,3003,62336,362045,100.0,98.15836756,0.0,0.0,21.86496154
wmt14_en,0.0,1.0,0.0,0,80291,0,61308,3003,3003,62336,362045,100.0,98.35087269,0.0,0.0,22.17707744
