,0,1,2,3
baseline,4955,5416,5178,5021
confusing_word_10,4975,5441,5257,4972
confusing_word_20,4889,5370,5387,4992
confusing_word_35,4669,5307,5339,5090
confusing_letter_2_5,4981,5540,5690,5038
confusing_letter_5,4933,5610,6164,5061
confusing_letter_10,4882,5962,6932,5241
confusing_letter_20,4752,6219,8084,5367
homophone_10,4858,5381,5178,4991
homophone_20,4877,5312,5197,5003
homophone_35,4867,5325,5255,5006
homophone_70,4765,5156,5373,5054
