,0,1,2,3
baseline,19353,18316,18568,20339
confusing_word_10,20963,20413,20824,21116
confusing_word_20,22678,22597,23292,22076
confusing_word_35,25717,25883,27279,23618
confusing_letter_2_5,20494,20405,22399,20978
confusing_letter_5,21469,22399,25879,21412
confusing_letter_10,23778,26553,32830,22863
confusing_letter_20,27508,34122,43364,24969
homophone_10,20064,19074,19572,20489
homophone_20,20429,19991,20463,20632
homophone_35,21526,21107,21817,20868
homophone_70,23718,24704,25659,21571
