,aws,google,azure,gpt,percentage_words_modified
0,0.09019729303439669,0.08879016185937182,0.08942703331953687,0.08920354004239338,0.0
1,0.09330793408775448,0.09481623927375706,0.09562379133746621,0.09179805741329623,6.185831622
2,0.09798134075798602,0.09843157786102327,0.10085588734024634,0.09449775542754457,11.89842146
3,0.10396273632680328,0.10676623129568788,0.10970773579137803,0.09838161604548873,20.74403234
4,0.09220423515353009,0.09220675463819154,0.09542322735133635,0.09011559665035582,11.14925565
5,0.09333243995489517,0.09709448366519646,0.10288281421900883,0.09014785660457626,20.38308522
6,0.09656244988918258,0.1065674353527631,0.11916066672911681,0.09454322572277764,36.82623203
7,0.10257206903049154,0.1349465549089546,0.13777445276093547,0.10429998259288231,58.71566992
8,0.09106913852924413,0.09062500863420538,0.09158370145527443,0.08932454829567212,3.068852669
9,0.09172637227819139,0.09156521343532964,0.0927032774095344,0.0884152127168615,5.921137064
10,0.09582046164410937,0.0964800879873762,0.09887050626326321,0.08987137017126878,10.45623717
11,0.10111718178014706,0.10677538058419749,0.10928692603361276,0.09204908345303177,20.97022587
