,aws,google,azure,gpt
baseline,0.9149930477142334,0.9195048213005066,0.9201085567474365,0.9154398441314697
10% words modified homophone,0.8965269923210144,0.8992944955825806,0.8957860469818115,0.9109783172607422
20% words modified homophone,0.8729093074798584,0.8705621957778931,0.8642262816429138,0.90494304895401
10% words modified confusing letter,0.9058564305305481,0.9072498679161072,0.8955416083335876,0.9104391932487488
20% words modified confusing letter,0.8984211683273315,0.8939762115478516,0.8705799579620361,0.9062060117721558
10% words modified confusing word,0.8869492411613464,0.8891898989677429,0.8848104476928711,0.8992795348167419
20% words modified confusing word,0.8603981733322144,0.858963131904602,0.8517233729362488,0.8832275867462158
