,aws,google,azure,gpt,percentage_words_modified
0,0.90850440484462,0.9113171048613735,0.9104624801860267,0.9036205613807643,0.0
1,0.8987054380821141,0.8990560420902022,0.8968220597062951,0.8990608462086924,6.185831622
2,0.8897559886926657,0.8867914633793788,0.8826602703922397,0.8936824174948307,11.89842146
3,0.8739440055279346,0.8674193994624989,0.8594259720741015,0.8856769887122002,20.74403234
4,0.9018860291807484,0.8995440299614961,0.8867421514822014,0.9002254697786662,11.14925565
5,0.8976119109443375,0.8882897233431076,0.8646042359855785,0.8976804823070378,20.38308522
6,0.8866757424204024,0.8641569181319042,0.8176107960782605,0.8903055276586499,36.82623203
7,0.8678662132073592,0.8178949162458286,0.7355988843021019,0.8788794903528123,58.71566992
8,0.9047964233737606,0.906568676521093,0.9050239229496027,0.9027807410065826,3.068852669
9,0.901991449869596,0.9017495376604063,0.899686597027145,0.9020720969586622,5.921137064
10,0.8967623932338579,0.8950009645123185,0.8911918456896599,0.9005606814578816,10.45623717
11,0.883268509929751,0.8738180979902729,0.866793296613417,0.8966196136120514,20.97022587
