,0,1,2,3
baseline,5242,4425,4854,5791
confusing_word_10,6061,5106,5477,6083
confusing_word_20,6621,5559,5968,6245
confusing_word_35,7695,6517,6816,6563
confusing_letter_2_5,5557,4589,5054,5730
confusing_letter_5,5654,4718,5010,5877
confusing_letter_10,6046,5037,4780,5947
confusing_letter_20,7104,5072,3769,6184
homophone_10,5498,4705,5125,5757
homophone_20,5724,5080,5369,5843
homophone_35,5994,5363,5667,5892
homophone_70,6895,6175,6395,5998
